"","state_name","state","year","median_aqi","region"
"1","1","Alabama",2013,38,"East South Central"
"2","1","Alabama",2014,38,"East South Central"
"3","1","Alabama",2015,38.5,"East South Central"
"4","1","Alabama",2016,40,"East South Central"
"5","1","Alabama",2017,37,"East South Central"
"6","1","Alabama",2018,35,"East South Central"
"7","1","Alabama",2019,39,"East South Central"
"8","1","Alabama",2020,35,"East South Central"
"9","2","Alaska",2013,20.5,"Pacific"
"10","2","Alaska",2014,26,"Pacific"
"11","2","Alaska",2015,24.5,"Pacific"
"12","2","Alaska",2016,31,"Pacific"
"13","2","Alaska",2017,22,"Pacific"
"14","2","Alaska",2018,23.5,"Pacific"
"15","2","Alaska",2019,19,"Pacific"
"16","2","Alaska",2020,14,"Pacific"
"17","3","Arizona",2013,46,"Mountain"
"18","3","Arizona",2014,44,"Mountain"
"19","3","Arizona",2015,43,"Mountain"
"20","3","Arizona",2016,44,"Mountain"
"21","3","Arizona",2017,45,"Mountain"
"22","3","Arizona",2018,44,"Mountain"
"23","3","Arizona",2019,45,"Mountain"
"24","3","Arizona",2020,44,"Mountain"
"25","5","Arkansas",2013,36,"West South Central"
"26","5","Arkansas",2014,35,"West South Central"
"27","5","Arkansas",2015,34,"West South Central"
"28","5","Arkansas",2016,36,"West South Central"
"29","5","Arkansas",2017,38,"West South Central"
"30","5","Arkansas",2018,35,"West South Central"
"31","5","Arkansas",2019,35,"West South Central"
"32","5","Arkansas",2020,34,"West South Central"
"33","6","California",2013,45.5,"Pacific"
"34","6","California",2014,45,"Pacific"
"35","6","California",2015,45,"Pacific"
"36","6","California",2016,44,"Pacific"
"37","6","California",2017,45,"Pacific"
"38","6","California",2018,45,"Pacific"
"39","6","California",2019,42,"Pacific"
"40","6","California",2020,43,"Pacific"
"41","8","Colorado",2013,46,"Mountain"
"42","8","Colorado",2014,44,"Mountain"
"43","8","Colorado",2015,44,"Mountain"
"44","8","Colorado",2016,44,"Mountain"
"45","8","Colorado",2017,44,"Mountain"
"46","8","Colorado",2018,46,"Mountain"
"47","8","Colorado",2019,44,"Mountain"
"48","8","Colorado",2020,44,"Mountain"
"49","9","Connecticut",2013,44.5,"New England"
"50","9","Connecticut",2014,42,"New England"
"51","9","Connecticut",2015,41,"New England"
"52","9","Connecticut",2016,41,"New England"
"53","9","Connecticut",2017,39.5,"New England"
"54","9","Connecticut",2018,37.5,"New England"
"55","9","Connecticut",2019,40,"New England"
"56","9","Connecticut",2020,39,"New England"
"57","10","Delaware",2013,41,"South Atlantic & Puerto Rico"
"58","10","Delaware",2014,43,"South Atlantic & Puerto Rico"
"59","10","Delaware",2015,42,"South Atlantic & Puerto Rico"
"60","10","Delaware",2016,41,"South Atlantic & Puerto Rico"
"61","10","Delaware",2017,41,"South Atlantic & Puerto Rico"
"62","10","Delaware",2018,40,"South Atlantic & Puerto Rico"
"63","10","Delaware",2019,42,"South Atlantic & Puerto Rico"
"64","10","Delaware",2020,38,"South Atlantic & Puerto Rico"
"65","11","District Of Columbia",2013,48,"South Atlantic & Puerto Rico"
"66","11","District Of Columbia",2014,47,"South Atlantic & Puerto Rico"
"67","11","District Of Columbia",2015,47,"South Atlantic & Puerto Rico"
"68","11","District Of Columbia",2016,47,"South Atlantic & Puerto Rico"
"69","11","District Of Columbia",2017,51,"South Atlantic & Puerto Rico"
"70","11","District Of Columbia",2018,44,"South Atlantic & Puerto Rico"
"71","11","District Of Columbia",2019,44,"South Atlantic & Puerto Rico"
"72","11","District Of Columbia",2020,40,"South Atlantic & Puerto Rico"
"73","12","Florida",2013,36,"South Atlantic & Puerto Rico"
"74","12","Florida",2014,37,"South Atlantic & Puerto Rico"
"75","12","Florida",2015,35,"South Atlantic & Puerto Rico"
"76","12","Florida",2016,38,"South Atlantic & Puerto Rico"
"77","12","Florida",2017,37,"South Atlantic & Puerto Rico"
"78","12","Florida",2018,35,"South Atlantic & Puerto Rico"
"79","12","Florida",2019,36,"South Atlantic & Puerto Rico"
"80","12","Florida",2020,36,"South Atlantic & Puerto Rico"
"81","13","Georgia",2013,38,"South Atlantic & Puerto Rico"
"82","13","Georgia",2014,41,"South Atlantic & Puerto Rico"
"83","13","Georgia",2015,38,"South Atlantic & Puerto Rico"
"84","13","Georgia",2016,40,"South Atlantic & Puerto Rico"
"85","13","Georgia",2017,38,"South Atlantic & Puerto Rico"
"86","13","Georgia",2018,35,"South Atlantic & Puerto Rico"
"87","13","Georgia",2019,39,"South Atlantic & Puerto Rico"
"88","13","Georgia",2020,33,"South Atlantic & Puerto Rico"
"89","15","Hawaii",2013,29,"Pacific"
"90","15","Hawaii",2014,25.5,"Pacific"
"91","15","Hawaii",2015,29.5,"Pacific"
"92","15","Hawaii",2016,26,"Pacific"
"93","15","Hawaii",2017,26,"Pacific"
"94","15","Hawaii",2018,24.5,"Pacific"
"95","15","Hawaii",2019,15.5,"Pacific"
"96","15","Hawaii",2020,16.5,"Pacific"
"97","16","Idaho",2013,22,"Mountain"
"98","16","Idaho",2014,31,"Mountain"
"99","16","Idaho",2015,21,"Mountain"
"100","16","Idaho",2016,25,"Mountain"
"101","16","Idaho",2017,28,"Mountain"
"102","16","Idaho",2018,28,"Mountain"
"103","16","Idaho",2019,23,"Mountain"
"104","16","Idaho",2020,25,"Mountain"
"105","17","Illinois",2013,37,"East North Central"
"106","17","Illinois",2014,37,"East North Central"
"107","17","Illinois",2015,38.5,"East North Central"
"108","17","Illinois",2016,38,"East North Central"
"109","17","Illinois",2017,40,"East North Central"
"110","17","Illinois",2018,40,"East North Central"
"111","17","Illinois",2019,41,"East North Central"
"112","17","Illinois",2020,39,"East North Central"
"113","18","Indiana",2013,42,"East North Central"
"114","18","Indiana",2014,40,"East North Central"
"115","18","Indiana",2015,39,"East North Central"
"116","18","Indiana",2016,38.5,"East North Central"
"117","18","Indiana",2017,39,"East North Central"
"118","18","Indiana",2018,35,"East North Central"
"119","18","Indiana",2019,35.5,"East North Central"
"120","18","Indiana",2020,34.5,"East North Central"
"121","19","Iowa",2013,42,"West North Central"
"122","19","Iowa",2014,38,"West North Central"
"123","19","Iowa",2015,36,"West North Central"
"124","19","Iowa",2016,36,"West North Central"
"125","19","Iowa",2017,39,"West North Central"
"126","19","Iowa",2018,39,"West North Central"
"127","19","Iowa",2019,37,"West North Central"
"128","19","Iowa",2020,35,"West North Central"
"129","20","Kansas",2013,38,"West North Central"
"130","20","Kansas",2014,36.5,"West North Central"
"131","20","Kansas",2015,35,"West North Central"
"132","20","Kansas",2016,36,"West North Central"
"133","20","Kansas",2017,37,"West North Central"
"134","20","Kansas",2018,36,"West North Central"
"135","20","Kansas",2019,36,"West North Central"
"136","20","Kansas",2020,37,"West North Central"
"137","21","Kentucky",2013,38,"East South Central"
"138","21","Kentucky",2014,39,"East South Central"
"139","21","Kentucky",2015,39,"East South Central"
"140","21","Kentucky",2016,39,"East South Central"
"141","21","Kentucky",2017,39.5,"East South Central"
"142","21","Kentucky",2018,38,"East South Central"
"143","21","Kentucky",2019,39,"East South Central"
"144","21","Kentucky",2020,36,"East South Central"
"145","22","Louisiana",2013,38.5,"West South Central"
"146","22","Louisiana",2014,38.5,"West South Central"
"147","22","Louisiana",2015,36.5,"West South Central"
"148","22","Louisiana",2016,37.5,"West South Central"
"149","22","Louisiana",2017,37,"West South Central"
"150","22","Louisiana",2018,35,"West South Central"
"151","22","Louisiana",2019,34,"West South Central"
"152","22","Louisiana",2020,34,"West South Central"
"153","23","Maine",2013,34,"New England"
"154","23","Maine",2014,34,"New England"
"155","23","Maine",2015,35.5,"New England"
"156","23","Maine",2016,33,"New England"
"157","23","Maine",2017,35,"New England"
"158","23","Maine",2018,36,"New England"
"159","23","Maine",2019,34,"New England"
"160","23","Maine",2020,33,"New England"
"161","24","Maryland",2013,43,"South Atlantic & Puerto Rico"
"162","24","Maryland",2014,43,"South Atlantic & Puerto Rico"
"163","24","Maryland",2015,44,"South Atlantic & Puerto Rico"
"164","24","Maryland",2016,42,"South Atlantic & Puerto Rico"
"165","24","Maryland",2017,41,"South Atlantic & Puerto Rico"
"166","24","Maryland",2018,39,"South Atlantic & Puerto Rico"
"167","24","Maryland",2019,40,"South Atlantic & Puerto Rico"
"168","24","Maryland",2020,35,"South Atlantic & Puerto Rico"
"169","25","Massachusetts",2013,39,"New England"
"170","25","Massachusetts",2014,39,"New England"
"171","25","Massachusetts",2015,37,"New England"
"172","25","Massachusetts",2016,36,"New England"
"173","25","Massachusetts",2017,37,"New England"
"174","25","Massachusetts",2018,37,"New England"
"175","25","Massachusetts",2019,37,"New England"
"176","25","Massachusetts",2020,37,"New England"
"177","26","Michigan",2013,40,"East North Central"
"178","26","Michigan",2014,40,"East North Central"
"179","26","Michigan",2015,39.5,"East North Central"
"180","26","Michigan",2016,38,"East North Central"
"181","26","Michigan",2017,38,"East North Central"
"182","26","Michigan",2018,38,"East North Central"
"183","26","Michigan",2019,36,"East North Central"
"184","26","Michigan",2020,36,"East North Central"
"185","27","Minnesota",2013,35,"West North Central"
"186","27","Minnesota",2014,33,"West North Central"
"187","27","Minnesota",2015,33,"West North Central"
"188","27","Minnesota",2016,30,"West North Central"
"189","27","Minnesota",2017,32.5,"West North Central"
